BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE,TICKER
TQBR,2023-05-19,0.2141,117400000,25076858,MRKP
TQBR,2023-05-22,0.2132,128010000,27332116,MRKP
TQBR,2023-05-23,0.2127,70870000,15075867,MRKP
TQBR,2023-05-24,0.2152,289050000,62437235,MRKP
TQBR,2023-05-25,0.2185,444040000,97114571,MRKP
TQBR,2023-05-26,0.2212,264900000,58729609,MRKP
TQBR,2023-05-29,0.223,211490000,47206629,MRKP
TQBR,2023-05-30,0.2212,166910000,37334493,MRKP
TQBR,2023-05-31,0.222,127770000,28310361,MRKP
TQBR,2023-06-01,0.2275,179320000,40448669,MRKP
TQBR,2023-06-02,0.2347,259440000,60273458,MRKP
TQBR,2023-06-05,0.2325,307760000,72818626,MRKP
TQBR,2023-06-06,0.2306,172780000,39830163,MRKP
TQBR,2023-06-07,0.2353,121760000,28587225,MRKP
TQBR,2023-06-08,0.2344,86100000,20157147,MRKP
TQBR,2023-06-09,0.236,447110000,107047396,MRKP
TQBR,2023-06-13,0.2363,203350000,48489204,MRKP
TQBR,2023-06-14,0.2381,131200000,31319791,MRKP
TQBR,2023-06-15,0.2408,122040000,29304635,MRKP
TQBR,2023-06-16,0.2438,131850000,32068540,MRKP
TQBR,2023-06-19,0.2416,191200000,46390149,MRKP
TQBR,2023-06-20,0.241,111630000,26928112,MRKP
TQBR,2023-06-21,0.2399,161030000,38715536,MRKP
TQBR,2023-06-22,0.2448,132340000,31970037,MRKP
TQBR,2023-06-23,0.2411,48630000,11759466,MRKP
TQBR,2023-06-26,0.237,133460000,31686000,MRKP
TQBR,2023-06-27,0.2424,221440000,54182118,MRKP
TQBR,2023-06-28,0.2525,366640000,92465468,MRKP
TQBR,2023-06-29,0.2546,126920000,32421237,MRKP
TQBR,2023-06-30,0.2529,83170000,21018804,MRKP
TQBR,2023-07-03,0.268,410260000,106612979,MRKP
TQBR,2023-07-04,0.2861,2537830000,737888760,MRKP
TQBR,2023-07-05,0.2842,562960000,160718556,MRKP
TQBR,2023-07-06,0.2776,184860000,51908080,MRKP
TQBR,2023-07-07,0.2814,251260000,70052002,MRKP
TQBR,2023-07-10,0.2778,186970000,52144036,MRKP
TQBR,2023-07-11,0.2874,535800000,154069786,MRKP
TQBR,2023-07-12,0.301,860520000,257088409,MRKP
TQBR,2023-07-13,0.301,371960000,112037103,MRKP
TQBR,2023-07-14,0.304,430420000,131168201,MRKP
TQBR,2023-07-17,0.3031,151460000,45950941,MRKP
TQBR,2023-07-18,0.3066,270470000,82267374,MRKP
TQBR,2023-07-19,0.3241,1643830000,535708637,MRKP
TQBR,2023-07-20,0.325,778820000,255282415,MRKP
TQBR,2023-07-21,0.3206,431020000,137374352,MRKP
TQBR,2023-07-24,0.332,807430000,269818423,MRKP
TQBR,2023-07-25,0.343,746790000,255850497,MRKP
TQBR,2023-07-26,0.3396,504450000,171405831,MRKP
TQBR,2023-07-27,0.3485,616320000,214965943,MRKP
TQBR,2023-07-28,0.363,1931390000,706733517,MRKP
TQBR,2023-07-31,0.3636,2043990000,767882893,MRKP
TQBR,2023-08-01,0.3636,481440000,177172643,MRKP
TQBR,2023-08-02,0.3567,404730000,145213352,MRKP
TQBR,2023-08-03,0.3565,311060000,109842358,MRKP
TQBR,2023-08-04,0.3412,626040000,218970895,MRKP
TQBR,2023-08-07,0.346,248830000,86617662,MRKP
TQBR,2023-08-08,0.341,262420000,88548326,MRKP
TQBR,2023-08-09,0.349,412120000,144185384,MRKP
TQBR,2023-08-10,0.351,441790000,157181731,MRKP
TQBR,2023-08-11,0.3483,136210000,47404816,MRKP
TQBR,2023-08-14,0.3383,404720000,139521226,MRKP
TQBR,2023-08-15,0.3357,289700000,97263230,MRKP
TQBR,2023-08-16,0.3218,488120000,158376244,MRKP
TQBR,2023-08-17,0.3238,148710000,48472391,MRKP
TQBR,2023-08-18,0.3276,172600000,56754782,MRKP
TQBR,2023-08-21,0.334,193670000,64353403,MRKP
TQBR,2023-08-22,0.3548,1271930000,446850223,MRKP
TQBR,2023-08-23,0.349,269120000,93897350,MRKP
TQBR,2023-08-24,0.351,355360000,126006559,MRKP
TQBR,2023-08-25,0.3502,321250000,113900412,MRKP
TQBR,2023-08-28,0.3579,643730000,231041113,MRKP
TQBR,2023-08-29,0.3556,209640000,74403403,MRKP
TQBR,2023-08-30,0.3718,1498000000,553943772,MRKP
TQBR,2023-08-31,0.3856,1577470000,606889091,MRKP
TQBR,2023-09-01,0.3779,499520000,189326477,MRKP
TQBR,2023-09-04,0.376,306290000,115555073,MRKP
TQBR,2023-09-05,0.3733,357480000,133440515,MRKP
TQBR,2023-09-06,0.3677,238060000,88059234,MRKP
TQBR,2023-09-07,0.3571,496690000,179703899,MRKP
TQBR,2023-09-08,0.3579,417960000,148751095,MRKP
TQBR,2023-09-11,0.3777,1030680000,384057247,MRKP
TQBR,2023-09-12,0.3778,484610000,183714794,MRKP
TQBR,2023-09-13,0.3703,1338580000,516674080,MRKP
TQBR,2023-09-14,0.35,817550000,286160056,MRKP
TQBR,2023-09-15,0.3566,321650000,114083282,MRKP
TQBR,2023-09-18,0.352,222050000,79571360,MRKP
TQBR,2023-09-19,0.3398,350410000,120189666,MRKP
TQBR,2023-09-20,0.3361,408450000,136740796,MRKP
TQBR,2023-09-21,0.3233,160980000,52912119,MRKP
TQBR,2023-09-22,0.3361,238520000,78253604,MRKP
TQBR,2023-09-25,0.3487,611490000,212539721,MRKP
TQBR,2023-09-26,0.3476,130880000,45322224,MRKP
TQBR,2023-09-27,0.3515,132900000,46651822,MRKP
TQBR,2023-09-28,0.3495,392970000,139625022,MRKP
